"sample_id","detection_date","p_peak_concentration","p_concentration_units","n_peak_concentration","n_concentration_units"
"138","11/15/2021",28.2,"ug P/L",415,"ug N/L"
"139","11/15/2021",9.21,"ug P/L",384,"ug N/L"
"140","11/15/2021",11.7,"ug P/L",415,"ug N/L"
"141","11/15/2021",3.13,"ug P/L",396,"ug N/L"
"142","11/15/2021",20,"ug P/L",513,"ug N/L"
"143","11/15/2021",5.81,"ug P/L",499,"ug N/L"
"144","11/15/2021",33.2,"ug P/L",540,"ug N/L"
"CCV Mid 50/500 ug/L","11/15/2021",38.2,"ug P/L",531,"ug N/L"
"CCV Low 10/100 ug/L","11/15/2021",0.651,"ug P/L",146,"ug N/L"
"CCB ","11/15/2021",-9.76,"ug P/L",-25.6,"ug N/L"
"145","11/15/2021",71.1,"ug P/L",542,"ug N/L"
"146","11/15/2021",38.3,"ug P/L",559,"ug N/L"
"147","11/15/2021",1.97,"ug P/L",406,"ug N/L"
"148","11/15/2021",10.4,"ug P/L",463,"ug N/L"
"149","11/15/2021",14.7,"ug P/L",509,"ug N/L"
"150","11/15/2021",296,"ug P/L",480,"ug N/L"
"151","11/15/2021",305,"ug P/L",-313,"ug N/L"
"sample_id","detection_date","p_peak_concentration","p_concentration_units","n_peak_concentration","n_concentration_units"
"Cal Std 1000/3000 ug/l","11/19/2021",1000,"ug P/L",3000,"ug N/L"
"Cal Std 500/1500 ug/L","11/19/2021",500,"ug P/L",1500,"ug N/L"
"Cal Std 100/1000 ug/L","11/19/2021",100,"ug P/L",1000,"ug N/L"
"Cal Std 50/500 ug/L","11/19/2021",50,"ug P/L",500,"ug N/L"
"Cal Std 10/100 ug/L","11/19/2021",10,"ug P/L",100,"ug N/L"
"Cal Std 5/50 ug/L","11/19/2021",5,"ug P/L",50,"ug N/L"
"Cal Std 0 ug/L","11/19/2021",0,"ug P/L",0,"ug N/L"
"CCV Mid 50/500 ug/L","11/19/2021",52.3,"ug P/L",501,"ug N/L"
"CCV Low 10/100 ug/L","11/19/2021",18.8,"ug P/L",114,"ug N/L"
"CCB ","11/19/2021",10.7,"ug P/L",24.7,"ug N/L"
"method blank","11/19/2021",6.09,"ug P/L",29.2,"ug N/L"
"method blank","11/19/2021",3.4,"ug P/L",14.2,"ug N/L"
"LCS TP","11/19/2021",97.8,"ug P/L",119,"ug N/L"
"LCS TN","11/19/2021",3.21,"ug P/L",108,"ug N/L"
"128","11/19/2021",25.8,"ug P/L",590,"ug N/L"
"129","11/19/2021",17.9,"ug P/L",574,"ug N/L"
"130","11/19/2021",72.6,"ug P/L",823,"ug N/L"
"131","11/19/2021",135,"ug P/L",856,"ug N/L"
"132","11/19/2021",75.5,"ug P/L",691,"ug N/L"
"133","11/19/2021",18.9,"ug P/L",595,"ug N/L"
"CCV Mid 50/500 ug/L","11/19/2021",53,"ug P/L",494,"ug N/L"
"CCV Low 10/100 ug/L","11/19/2021",17.6,"ug P/L",101,"ug N/L"
"CCB ","11/19/2021",11.4,"ug P/L",19.4,"ug N/L"
"134","11/19/2021",28.7,"ug P/L",604,"ug N/L"
"135","11/19/2021",22.5,"ug P/L",601,"ug N/L"
"136","11/19/2021",323,"ug P/L",451,"ug N/L"
"137","11/19/2021",335,"ug P/L",552,"ug N/L"
"138","11/19/2021",33.1,"ug P/L",401,"ug N/L"
"139","11/19/2021",22.3,"ug P/L",382,"ug N/L"
"140","11/19/2021",20.6,"ug P/L",395,"ug N/L"
"141","11/19/2021",23.8,"ug P/L",388,"ug N/L"
"142","11/19/2021",32.2,"ug P/L",540,"ug N/L"
"143","11/19/2021",16.1,"ug P/L",496,"ug N/L"
"CCV Mid 50/500 ug/L","11/19/2021",53.5,"ug P/L",488,"ug N/L"
"CCV Low 10/100 ug/L","11/19/2021",22.9,"ug P/L",94.7,"ug N/L"
"CCB ","11/19/2021",10.7,"ug P/L",17.2,"ug N/L"
"144","11/19/2021",47,"ug P/L",532,"ug N/L"
"145","11/19/2021",95.1,"ug P/L",584,"ug N/L"
"146","11/19/2021",47.1,"ug P/L",508,"ug N/L"
"147","11/19/2021",14.7,"ug P/L",391,"ug N/L"
"148","11/19/2021",23.4,"ug P/L",465,"ug N/L"
"149","11/19/2021",25.1,"ug P/L",503,"ug N/L"
"150","11/19/2021",315,"ug P/L",487,"ug N/L"
"151","11/19/2021",311,"ug P/L",433,"ug N/L"
"49","11/19/2021",61.2,"ug P/L",189,"ug N/L"
"51 2X","11/19/2021",47.4,"ug P/L",2470,"ug N/L"
"CCV Mid 50/500 ug/L","11/19/2021",51.2,"ug P/L",471,"ug N/L"
"CCV Low 10/100 ug/L","11/19/2021",14.1,"ug P/L",106,"ug N/L"
"CCB ","11/19/2021",634,"ug P/L",56.3,"ug N/L"
"57 2X","11/19/2021",22.4,"ug P/L",2660,"ug N/L"
"69 2X","11/19/2021",31.8,"ug P/L",2480,"ug N/L"
"70 2X","11/19/2021",14.9,"ug P/L",1840,"ug N/L"
"81","11/19/2021",24.8,"ug P/L",940,"ug N/L"
"82","11/19/2021",28,"ug P/L",1100,"ug N/L"
"83","11/19/2021",21.6,"ug P/L",849,"ug N/L"
"51 2X again","11/19/2021",740,"ug P/L",39.5,"ug N/L"
"CCV Mid 50/500 ug/L","11/19/2021",651,"ug P/L",32.3,"ug N/L"
"CCV Low 10/100 ug/L","11/19/2021",593,"ug P/L",53.8,"ug N/L"
"CCB ","11/19/2021",678,"ug P/L",52.3,"ug N/L"
"sample_id","detection_date","p_peak_concentration","p_concentration_units","n_peak_concentration","n_concentration_units"
"Cal Std 1000/3000 ug/l","8/11/2021",1000,"ug P/L",3000,"ug N/L"
"Cal Std 500/1500 ug/L","8/11/2021",500,"ug P/L",1500,"ug N/L"
"Cal Std 100/1000 ug/L","8/11/2021",100,"ug P/L",1000,"ug N/L"
"Cal Std 50/500 ug/L","8/11/2021",50,"ug P/L",500,"ug N/L"
"Cal Std 10/100 ug/L","8/11/2021",10,"ug P/L",100,"ug N/L"
"Cal Std 5/50 ug/L","8/11/2021",5,"ug P/L",50,"ug N/L"
"Cal Std 0 ug/L","8/11/2021",0,"ug P/L",0,"ug N/L"
"CCV Mid 50/500 ug/L","8/11/2021",46,"ug P/L",477,"ug N/L"
"CCV Low 10/100 ug/L","8/11/2021",7.35,"ug P/L",71.2,"ug N/L"
"CCB ","8/11/2021",-2.8,"ug P/L",-89.7,"ug N/L"
"method blank","8/11/2021",-1.03,"ug P/L",-24.7,"ug N/L"
"method blank","8/11/2021",-0.584,"ug P/L",-89.5,"ug N/L"
"LCS TP","8/11/2021",83.6,"ug P/L",30.4,"ug N/L"
